iter	Accuracy	Logloss
585	0.8236512136	0.3749819998
586	0.8238812838	0.374938408
587	0.8238812838	0.3748763147
588	0.8238812838	0.3748496952
589	0.8237662487	0.3748030548
590	0.8238812838	0.3747250913
591	0.8238812838	0.3746560979
592	0.8239963189	0.3744608783
593	0.824226389	0.3744309953
594	0.824111354	0.3743615211
595	0.824226389	0.374271489
596	0.8243414241	0.3741730383
597	0.8244564592	0.3741029651
598	0.8244564592	0.3739909995
599	0.824226389	0.3739464448
600	0.8243414241	0.3738732508
601	0.8244564592	0.3737348153
602	0.8244564592	0.37367853
603	0.8244564592	0.3736227857
604	0.8244564592	0.3734936818
605	0.8245714943	0.3734190666
606	0.8244564592	0.373300543
607	0.8245714943	0.3732223297
608	0.8245714943	0.3731735923
609	0.8248015645	0.3731011398
610	0.8250316346	0.3730391673
611	0.8246865294	0.3729917771
612	0.8249165996	0.3728236878
613	0.8250316346	0.3727639372
614	0.8251466697	0.3727021155
615	0.8249165996	0.3726494467
616	0.8250316346	0.3725596558
617	0.8250316346	0.3724887256
618	0.8250316346	0.3724470495
619	0.8250316346	0.3724269612
620	0.8251466697	0.3723252694
621	0.8251466697	0.3722355601
622	0.8251466697	0.3721860049
623	0.8250316346	0.3721360422
624	0.8250316346	0.3720224584
625	0.8250316346	0.3719637498
626	0.8251466697	0.3719165646
627	0.8251466697	0.3718138579
628	0.8250316346	0.3717754723
629	0.8253767399	0.3717009757
630	0.8253767399	0.371530308
631	0.8253767399	0.3714569798
632	0.8256068101	0.3713996356
633	0.8253767399	0.3713611356
634	0.8253767399	0.3712198181
635	0.825491775	0.3711594814
636	0.8256068101	0.3710717934
637	0.8256068101	0.3710197121
638	0.825491775	0.3709623492
639	0.825491775	0.3709097323
640	0.8256068101	0.3708176403
641	0.825491775	0.370748541
642	0.8253767399	0.3706843936
643	0.8257218452	0.3706127887
644	0.8259519153	0.3705347348
645	0.8257218452	0.3704746577
646	0.8257218452	0.3704316358
647	0.8257218452	0.3703799284
648	0.8258368802	0.3703153342
649	0.8257218452	0.3702475931
650	0.8258368802	0.3701954488
651	0.8258368802	0.3701051333
652	0.8260669504	0.3700197639
653	0.8260669504	0.3699710133
654	0.8260669504	0.3699123977
655	0.8260669504	0.3698805259
656	0.8261819855	0.3698458482
657	0.8262970206	0.3697074407
658	0.8262970206	0.3696712763
659	0.8264120557	0.3696101217
660	0.8261819855	0.3695059698
661	0.8264120557	0.3694651619
662	0.8265270908	0.3693954141
663	0.8265270908	0.3693564562
664	0.8265270908	0.3692815017
665	0.8266421258	0.3692161049
666	0.8267571609	0.3691581071
